Target,Model,N_Folds,Seed,Accuracy,AUC,F1,MCC
Arrhythmia,RandomForest,3,0,0.64,0.6753246753246753,0.7096774193548387,0.2556653716805367
Arrhythmia,RandomForest,3,1,0.8,0.7857142857142857,0.8387096774193549,0.6011591171947755
Arrhythmia,RandomForest,3,2,0.64,0.737012987012987,0.7272727272727273,0.25660560061597815
Arrhythmia,RandomForest,3,3,0.68,0.7727272727272728,0.7142857142857143,0.35064935064935066
Arrhythmia,RandomForest,3,4,0.72,0.8409090909090909,0.7586206896551724,0.4276686017238498
Arrhythmia,RandomForest,3,5,0.72,0.7792207792207791,0.7586206896551724,0.4276686017238498
Arrhythmia,RandomForest,3,6,0.56,0.5811688311688311,0.5925925925925926,0.11613144917081457
Arrhythmia,RandomForest,3,7,0.8,0.8311688311688311,0.8275862068965517,0.592156525463792
Arrhythmia,RandomForest,3,8,0.6,0.6428571428571428,0.6875,0.16511335536401342
Arrhythmia,RandomForest,3,9,0.76,0.8376623376623376,0.7857142857142857,0.512987012987013
heart_damage,GaussianNB,3,0,0.8,0.625,0.8837209302325582,0.2211629342323457
heart_damage,GaussianNB,3,1,0.88,0.76,0.9302325581395349,0.5897678246195885
heart_damage,GaussianNB,3,2,0.8,0.76,0.8837209302325582,0.2211629342323457
heart_damage,GaussianNB,3,3,0.88,0.87,0.9302325581395349,0.5897678246195885
heart_damage,GaussianNB,3,4,0.8,0.71,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,3,5,0.8,0.805,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,3,6,0.76,0.7,0.85,0.25
heart_damage,GaussianNB,3,7,0.88,0.87,0.9302325581395349,0.5897678246195885
heart_damage,GaussianNB,3,8,0.84,0.8300000000000001,0.9047619047619048,0.43082021842766455
heart_damage,GaussianNB,3,9,0.8,0.72,0.8837209302325582,0.2211629342323457
Concern_Binary,GaussianNB,3,0,0.72,0.7866666666666666,0.7878787878787878,0.40006613209931935
Concern_Binary,GaussianNB,3,1,0.76,0.7866666666666666,0.8125,0.49009802940980346
Concern_Binary,GaussianNB,3,2,0.68,0.8933333333333334,0.75,0.31506301890630223
Concern_Binary,GaussianNB,3,3,0.76,0.8733333333333333,0.8,0.5
Concern_Binary,GaussianNB,3,4,0.76,0.7933333333333333,0.8235294117647058,0.4970674233862172
Concern_Binary,GaussianNB,3,5,0.8,0.94,0.8484848484848485,0.5819143739626463
Concern_Binary,GaussianNB,3,6,0.88,0.9533333333333333,0.896551724137931,0.7566444492037343
Concern_Binary,GaussianNB,3,7,0.8,0.9400000000000001,0.8387096774193549,0.5783517448238059
Concern_Binary,GaussianNB,3,8,0.76,0.8466666666666667,0.8235294117647058,0.4970674233862172
Concern_Binary,GaussianNB,3,9,0.68,0.8333333333333334,0.75,0.31506301890630223
